# This file is built from NewRisingSun's "NES and Famicom Accurate Cartridge Information Database"
# as available here: http://nerdlypleasures.blogspot.com/2020/04/the-nes-and-famicom-accurate-cartridge.html
# Last retrieved on 2020-05-24
# For now, I've just included the data for the US releases.

# Game Name A-Z, PRG-ROM, CHR-ROM, Misc ROM, Mapper, Mirror + Flag, PPU, PRG-RAM, PRG-RAM B, CHR-RAM, CHR-RAM B, Console, Controller, CRC32

# Licensed NA
# -----------
"10-Yard Fight (USA, Europe).nes",32,8,0,0.00,H,any,0,0,0,0,Normal,Standard,3D564757
"1942 (Japan, USA).nes",32,8,0,0.00,H,RP2C02,0,0,0,0,Normal,Standard,171251E3
1943 - The Battle of Midway (USA).nes,128,0,0,2.02,H,RP2C02,0,0,8K,0,Normal,Standard,12C6D5C7
3-D WorldRunner (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,E6A477B2
720 Degrees (USA).nes,128,0,0,1.00,H,RP2C02,0,0,8K,0,Normal,Standard,49F745E0
8 Eyes (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,326AB3B6
Abadox - The Deadly Inner War (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,B134D713
"Addams Family, The - Pugsley's Scavenger Hunt (USA).nes",128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,063E5653
"Addams Family, The (USA).nes",128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,65518EAE
Advanced Dungeons & Dragons - DragonStrike (USA).nes,256,256,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,2C5908A7
Advanced Dungeons & Dragons - Heroes of the Lance (USA).nes,128,128,0,1.00,HB,RP2C02,0,8K,0,0,Normal,Standard,B17574F3
Advanced Dungeons & Dragons - Hillsfar (USA).nes,256,0,0,1.00,HB,RP2C02,0,8K,8K,0,Normal,Standard,5DE61639
Advanced Dungeons & Dragons - Pool of Radiance (USA).nes,512,128,0,4.00,HB,RP2C02,0,8K,0,0,Normal,Standard,25952141
Adventure Island (USA).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Standard,F8A713BE
Adventure Island 3 (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,BFBFD25D
Adventure Island II (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,771C8855
Adventures in the Magic Kingdom (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,5DBD6099
"Adventures of Bayou Billy, The (USA).nes",128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Zapper,67751094
Adventures of Dino Riki (USA).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Standard,9BDE3267
"Adventures of Gilligan's Island, The (USA).nes",128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,55773880
Adventures of Lolo (USA).nes,32,32,0,1.05,H,RP2C02,0,0,0,0,Normal,Standard,71BF075F
Adventures of Lolo 2 (USA).nes,32,32,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,1992D163
Adventures of Lolo 3 (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,8DD92725
"Adventures of Rad Gravity, The (USA).nes",128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,D8EE7669
"Adventures of Rocky and Bullwinkle and Friends, The (USA).nes",128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,227CF577
Adventures of Tom Sawyer (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,6E85D8DD
Air Fortress (USA).nes,128,32,0,1.00,H,RP2C02,8K,0,0,0,Normal,Standard,35C41CD4
Airwolf (USA) (Acclaim).nes,32,128,0,1.05,H,RP2C02,0,0,0,0,Normal,Standard,489EF6A2
Al Unser Jr. Turbo Racing (USA).nes,128,128,0,1.00,HB,RP2C02,0,8K,0,0,Normal,Standard,5BC9D7A1
Alex DeMeo's Race America (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,A8B0DA56
Alfred Chicken (USA).nes,128,0,0,2.02,H,RP2C02,0,0,8K,0,Normal,Standard,63E992AC
Alien 3 (USA).nes,128,128,0,4.03,H,RP2C02,0,0,0,0,Normal,Standard,C527C297
All-Pro Basketball (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,934DB14A
Alpha Mission (USA).nes,32,32,0,3.02,H,RP2C02,0,0,0,0,Normal,Standard,DBF90772
Amagon (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,E2B43A68
American Gladiators (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,1973AEA8
Anticipation (USA).nes,32,32,0,1.05,H,RP2C02,0,0,0,0,Normal,Standard,99A9F57E
Arch Rivals - A Basketbrawl! (USA).nes,128,0,0,7.02,H,RP2C02,0,0,8K,0,Normal,Standard,C740EB46
Archon (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,F304F1B9
Arkanoid (USA).nes,32,16,0,3.02,H,RP2C02,0,0,0,0,Normal,PaddleNES,32FB0583
Arkista's Ring (USA).nes,32,32,0,3.02,H,RP2C02,0,0,0,0,Normal,Standard,1425D7F4
Astyanax (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,054CB4EB
Athena (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,27DDF227
